kaas_DocSearchUDPES_PDP_Topics_10.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=10&resultStart=0&countryCode=162089707212699946554652&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,filename,duration&topic=175513598973950797922021312691457,727118134876361637267272859691104,467249423806096122761263497662159&store=docstore,supportagentstore,udp-content-default&product=20283135,1849478,20283137,20283132,4321223,17034112,3769715,8386448&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 7.04, actual time = 9.51).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.36, actual time = 11.46).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.54, actual time = 12.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.14, actual time = 7.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.00, actual time = 6.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.45, actual time = 8.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.41, actual time = 10.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.50, actual time = 6.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.44, actual time = 9.52).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.61, actual time = 8.39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.14, actual time = 10.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.84, actual time = 7.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.83, actual time = 9.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.21, actual time = 8.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.99, actual time = 8.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.44, actual time = 6.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.38, actual time = 10.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.54, actual time = 6.80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.58, actual time = 7.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.69, actual time = 6.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.44, actual time = 7.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.65, actual time = 8.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.91, actual time = 8.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.20, actual time = 8.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.39, actual time = 11.39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.76, actual time = 7.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.05, actual time = 7.23).	[MsgId: MWAR-15995]
