kaas_DocSearchHPES_Promotion_query.c(10): Error -26627: HTTP Status-Code=404 (Not Found) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=buy battery&resultLimit=15&resultStart=0&languageCode=en&countryCode=us&promotions=true&store=promotions&filters=products:(NONE)%20AND%20NOT%20publicationdestination:(FindMyProduct)"  	[MsgId: MERR-26627]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 9.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.81, actual time = 8.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.12, actual time = 8.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.01, actual time = 9.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.89, actual time = 8.52).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.07, actual time = 9.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.93, actual time = 8.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.83, actual time = 8.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.53, actual time = 9.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.72, actual time = 9.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.47, actual time = 8.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.07, actual time = 10.68).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.42, actual time = 9.46).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.82, actual time = 7.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.64, actual time = 7.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.62, actual time = 10.43).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.79, actual time = 8.75).	[MsgId: MWAR-15995]
